,trackId,trackTitle,artistName,genre,nearest_trackId,nearest_trackTitle,nearest_artistName,nearest_genre,min_distance
179,41445495,Move On Up,Curtis Mayfield,soul,46865664,If You Want Me To Stay,Sly & The Family Stone,pop,0.23157946374634786
180,55407424,The Chain,Fleetwood Mac,pop,55407422,Go Your Own Way,Fleetwood Mac,pop,0.12673676689491786
181,55407419,Dreams,Fleetwood Mac,pop,55407422,Go Your Own Way,Fleetwood Mac,pop,0.10550999286203411
182,55096431,The Closer I Get to You,Luther Vandross,pop,47058755,A House Is Not a Home,Luther Vandross,pop,0.21010253009143665
183,47058755,A House Is Not a Home,Luther Vandross,pop,51502938,Cry Together,The O'Jays,pop,0.1292775684797216
184,34101883,Smoke On The Water (1997 Remastered Version),Deep Purple,rock,40778548,Paranoid,Black Sabbath,rock,0.15098049972122451
185,29062724,Turn Your Lights Down Low (feat. Lauryn Hill),Bob Marley & The Wailers,reggae,46984380,Is This Love,Bob Marley & The Wailers,reggae,0.19487935681396773
186,46873919,"Mama, I'm Coming Home (Album Version)",Ozzy Osbourne,rock,29086108,Fear Of The Dark (1998 Remastered Version),Iron Maiden,rock,0.13277009137191187
187,47100235,Light My Fire ( LP Version ),The Doors,rock,33427312,"Paint It, Black",The Rolling Stones,rock,0.16719636802633064
188,47059341,Enter Sandman,Metallica,rock,47059332,The Unforgiven,Metallica,rock,0.08946082159852142
189,47023496,Fortunate Son,Creedence Clearwater Revival,rock,33427312,"Paint It, Black",The Rolling Stones,rock,0.15294948250640172
190,31500122,"Can't Get Enough Of Your Love, Babe",Barry White,pop,33525912,September,"Earth, Wind & Fire",pop,0.2720779627116273
191,40309960,Just My Imagination (Running Away With Me),The Temptations,rnb,47006875,Midnight Train to Georgia,Gladys Knight & The Pips,pop,0.17103465359229797
192,40931516,Big Fish,Vince Staples,hiphop,42109174,DNA.,Kendrick Lamar,hiphop,0.23335875296978004
193,53750167,Kashmir,Led Zeppelin,rock,47022376,Whole Lotta Love,Led Zeppelin,rock,0.07333922540039783
194,30495888,What's The Difference,Dr. Dre,hiphop,30183094,Forgot About Dre,Dr. Dre,hiphop,0.1202982154986334
195,40868605,Still Falling For You,Ellie Goulding,pop,32731648,Send My Love (To Your New Lover),Adele,pop,0.3106160786637233
196,46871870,Breaking the Law,Judas Priest,rock,47716442,Crazy Train (Remastered),Ozzy Osbourne,rock,0.18171477407070435
